mathId,name,advisors,thesis,thesisUniversity,thesisCountry,thesisYear,numStudents,numDescendants
99896,Rafal  Komendarczyk,Robert Wayne Ghrist;Margaret Fife Symington,Nodal sets and contact structures,Georgia Institute of Technology,UnitedStates,2006,2,2
99897,Jinhae  Park,Maria-Carme  Calderer,Mathematical modelling and analysis of ferroelectricity in Liquid crystals,University of Minnesota-Minneapolis,UnitedStates,2006,0,0
99898,Daniel Paul Biebighauser,Mark Norman Ellingham,Generalizations of hamiltonicity for embedded graphs,Vanderbilt University,UnitedStates,2006,0,0
99899,Xueli  Xu,Jeffrey Alan Douglas,Two Applications in the Framework of Nonparametric IRT,University of Illinois at Urbana-Champaign,UnitedStates,2004,0,0
99900,Sung-il  Pae,Michael Conrad Loui,Random number generation using a biased source,University of Illinois at Urbana-Champaign,UnitedStates,2005,0,0
99901,Joel Eugene Dendy Jr.,Henry H. Rachford Jr.,Penalty Galerkin Methods for Partial Differential Equations,Rice University,UnitedStates,1971,1,1
99902,Younshik  Chung,Dipak Kumar Dey,On Estimation of Parameters from Compound Power Series Distributions,University of Connecticut,UnitedStates,1990,0,0
99903,Samiran  Ghosh,Dipak Kumar Dey,Clustering Classification and Function Estimation for High Dimensional Data Arising from Bioinformatics and Related Domains,University of Connecticut,UnitedStates,2006,0,0
99904,Kuo-ren  Lou,Dipak Kumar Dey,Some Aspects of Bayesian Robustness,University of Connecticut,UnitedStates,1996,0,0
99905,Fengchun  Peng,Dipak Kumar Dey,On the Use of Information and Divergence Measures in Bayesian Analysis,University of Connecticut,UnitedStates,1993,0,0
99906,Timothy  Roden,Ian  Parberry,Procedural Content Creation and Technologies for 3D Graphics Applications and Games,University of North Texas,UnitedStates,2005,0,0
99907,Leonardo  Biliotti,Francesco  Mercuri;Daniel Victor Tausk,''Alguns aspectos da geometria Riemanniana das variedades de Hilbert'',Universidade Estadual de Campinas,Brazil,2002,0,0
99908,Mingyao  Li,Michael Lee Boehnke;GonÃ§alo R. Abecasis,Statistical Methods in Gene Mapping of Complex Diseases,University of Michigan,UnitedStates,2005,1,1
99909,Madhusudan R. Hosaagrahara,Harish  Sethu,A Generalized Framework for Achieving Max-Min Fairness: Theory and Applications,Drexel University,UnitedStates,2006,0,0
99910,Fiammetta  Battaglia,Simon Montague Salamon,Applicazioni momento in geometria differenziale,Università degli Studi di Firenze,Italy,1993,0,0
99911,Simon G. Chiossi,Simon Montague Salamon,Riemannian geometry in dimensions 6 and 7,Università di Genova,Italy,2003,0,0
99912,Anna  Fino,Simon Montague Salamon,Geometria e topologia degli spazi omogenei,Università di Torino,Italy,1997,2,2
99913,Andrew Francis Swann,Simon Montague Salamon,HyperKähler and Quaternionic Kähler Geometry,,UnitedKingdom,,6,6
99914,Nir  Ailon,Bernard  Chazelle,Studies in Algorithms,Princeton University,UnitedStates,2006,1,1
99915,Loukas  Georgiadis,Robert Endre Tarjan,Linear-Time Algorithms for Dominators and Related Problems,Princeton University,UnitedStates,2005,0,0
99916,Renato  Werneck,Robert Endre Tarjan,Design and Analysis of Data Structures for Dynamic Trees,Princeton University,UnitedStates,2006,0,0
99917,Kirill Kapitonovicn Golovkin,Olga Aleksandrovna Ladyzhenskaya,On some class of functional spaces,St. Petersburg State University,Russia,1962,0,0
99918,L.  Stupyalis,Olga Aleksandrovna Ladyzhenskaya,,St. Petersburg State University,Russia,1966,0,0
99919,Richard John Hunter,John Wylie Lloyd,Weakly Compactly Generated Topological Linear Spaces and Their Subspaces,Australian National University,Australia,1982,0,0
99920,Ivan  Oliveira,Anthony Tyr Patera,A HUM Conjugate Gradient Algorithm for Constrained Nonlinear Optimal Control: Terminal and Regulator Problems,Massachusetts Institute of Technology,UnitedStates,2002,0,0
99921,Calin Iuliu Lazaroiu,Brian Randolph Greene,D-brane effects in quantum geometry,Columbia University and University of Bucharest,UnitedStates,2000,0,0
99922,Ti-ming  Chiang,Brian Randolph Greene,Linear sigma models and string compactifications,Cornell University,UnitedStates,1998,0,0
99923,Yakov  Kanter,Brian Randolph Greene,Mirror symmetry and quantum geometry,Cornell University,UnitedStates,1997,0,0
99924,Thomas G. Roos,Brian Randolph Greene,Nonperturbative aspects of field theories in cosmology,Cornell University,UnitedStates,1997,0,0
99925,Alexander Tevelevich Kolotov,Leonid Arkadievich Bokut;Anatoly Illarionovich Shirshov,Subalgebras of free associative algebras and growth functions,Kishinev State University,Moldova,1982,0,0
99926,Raman  Adaikkalavan,Upen S. Chakravarthy,Generalization and Enforcement of Role-Based Access Control Using a Novel Event-Based Approach,University of Texas at Arlington,UnitedStates,2006,0,0
99927,Galina Vasilievna Kryazhovskikh,Leonid Arkadievich Bokut;Georgii Petrovich Kukin,Homomorphisms and subalgebras of finitely presented nonassociative algebras,Kishinev State University,Moldova,1988,0,0
99928,Vladislav Boreslavovich Kulchinovskii,Leonid Arkadievich Bokut;Stanislav Nikolaevich Vasil'ev,Ordered differential rings,Sobolev Institute of Mathematics Novosibirsk,Russia,2001,0,0
99929,Nikolai Grigorievich Nesterenko,Leonid Arkadievich Bokut;Igor Vladimirovich Lvov,Representations of algebras by triangular matrices,Sobolev Institute of Mathematics Novosibirsk,Russia,1987,0,0
99931,Evgenii Petrovich Petrov,Leonid Arkadievich Bokut;Yurii Nikolaevich Maltsev,Structure of finitely dimensional nilpotent algebras and their identities,Omsk State University,Russia,1996,0,0
99932,Alexander Zigfridovich Ananin,Leonid Arkadievich Bokut,Locally representable and representable varieties of algebras,Institute of Mathematics National Academy of Sciences of Belarus,Belarus,1987,1,1
99933,Radnaasumberel R. Gonchigdorj,Leonid Arkadievich Bokut,Orders of direct products of skew fields and simple Artinian rings,Institute of Mathematics National Academy of Sciences of Belarus,Belarus,1982,0,0
99934,Vladimir Vasilievich Talapov,Leonid Arkadievich Bokut,Algorithmic problems and embedding theorems for varieties of algebras,Institute of Mathematics National Academy of Sciences of Belarus,Belarus,1983,0,0
99935,Tserendoj Ts. Dashdorj,Leonid Arkadievich Bokut,On structure and representation of right alternative algebras,Kishinev State University,Moldova,1987,0,0
99936,Alexander Savelievich Stern,Leonid Arkadievich Bokut,Representations and derivations of Jordan systems,Kishinev State University,Moldova,1988,0,0
99937,Boris Vladimirovich Tarasov,Leonid Arkadievich Bokut,Free associative and closely related algebras,Kishinev State University,Moldova,1982,0,0
99938,Alexander Aronovich Urman,Leonid Arkadievich Bokut,Commutative and nearly associative varieties of algebras,Kishinev State University,Moldova,1982,0,0
99939,Arkadii Yakovlevich Vais,Leonid Arkadievich Bokut,Finitely based varieties of algebras and trace identities,Kishinev State University,Moldova,1988,0,0
99940,Victor Vasilievich Vdovin,Leonid Arkadievich Bokut,Homomorphisms of projective planes,Kishinev State University,Moldova,1987,0,0
99941,Victor Nikolaevich Gerasimov,Leonid Arkadievich Bokut,Free associative algebras and and inverted homomorphisms of rings,Sobolev Institute of Mathematics Novosibirsk,Russia,1980,0,0
99942,Alexander Vasilievich Sidorov,Leonid Arkadievich Bokut,Radicals and rings of fructions of Hopf-module algebras,Sobolev Institute of Mathematics Novosibirsk,Russia,1989,0,0
99943,Alexei Igorevich Valitskas,Leonid Arkadievich Bokut,Embedding of rings into radical rings and rational identities of radical algebras,Sobolev Institute of Mathematics Novosibirsk,Russia,1988,0,0
99944,Alexander Vladimirovich Yagzhev,Leonid Arkadievich Bokut,On characterizations of automorphisms of free algebras,Sobolev Institute of Mathematics Novosibirsk,Russia,1980,0,0
99945,Pavel Sergeevich Kolesnikov,Leonid Arkadievich Bokut,Constructions of embeddings for Lie and Jordan pseudo-algebras,Novosibirsk State University,Russia,2003,1,1
99946,Almas  Akhmedova,Mark Iosifovich Vishik,Asymptotic expansions of eigenfunctions and eigenvalues in problems with potential well,Lomonosov Moscow State University,Russia,1962,0,0
99947,Dragos  Iftimie,Jean-Yves  Chemin,,Université Pierre-et-Marie-Curie - Paris VI,France,1996,1,1
99948,Achim  Blumensath,Erich  GrÃ¤del,Structures of Bounded Partition Width,rer. nat. Rheinisch-Westfälische Technische Hochschule Aachen,Germany,2003,0,0
99949,Antje  Nowack,Erich  GrÃ¤del,Abstract State Machines: Verification Problems and Computational Power,rer. nat. Rheinisch-Westfälische Technische Hochschule Aachen,Germany,2004,0,0
99950,Marc  Spielmann,Erich  GrÃ¤del,Abstract State Machines: Verification Problems and Complexity,rer. nat. Rheinisch-Westfälische Technische Hochschule Aachen,Germany,2001,0,0
99951,Peter Matthias Lennartz,Jan  van Leeuwen;Han  Hoogeveen,No-Wait Job Shop Scheduling - A Constraint Propagation Approach,Universiteit Utrecht,Netherlands,2006,0,0
99952,Talia  FernÃ³s,Alex  Furman,Relative Property (T) Linear Groups and Applications,University of Illinois at Chicago,UnitedStates,2006,0,0
99953,Kay  Moritzen,Wolfgang  Achtziger;Andreas  Fischer,Nichtglatte Analysis und Numerik von Eigenwerten zur Designoptimierung mechanischer Strukturen,rer. nat. Universität Dortmund,Germany,2006,0,0
99954,Rudolf Hermann Riedi,Christian  Blatter;Corneliu  Constantinescu,An Improved Multifractal Formalism and Self-affine Measures,Sc. Math. ETH Zürich,Switzerland,1993,0,0
99955,Amr  Farahat,Cynthia  Barnhart,Tractability Through Approximation: A Study of Two Discrete Optimization Problems,Massachusetts Institute of Technology,UnitedStates,2004,0,0
99956,Alexandre  Belloni,Robert Michael Freund,Studies Integrating Geometry Probability and Optimization under Convexity,Massachusetts Institute of Technology,UnitedStates,2006,0,0
99957,Manuel  Nunez,Robert Michael Freund,Condition Numbers and Properties of Central Trajectories in Convex Programming,Massachusetts Institute of Technology,UnitedStates,1997,0,0
99958,Rob  Shillingsburg,Edward William Felten,Fault Tolerance in the Pulsar Cluster Server,Princeton University,UnitedStates,2004,0,0
99959,Brent  Waters,Amit  Sahai;Edward William Felten,Cryptographic Algorithms for Privacy in an Age of Ubiquitous Recording,Princeton University,UnitedStates,2004,0,0
99960,Rob  Kalnins,Adam  Finkelstein,WYSIWYG NPR: Interactive Stylization for Stroke-Based Rendering of 3D Animation,Princeton University,UnitedStates,2004,0,0
99961,Misha  Kazhdan,Thomas Allen Funkhouser,Shape Representations and Algorithms for 3D Model Retrieval,Princeton University,UnitedStates,2004,0,0
99962,Patrick  Min,Thomas Allen Funkhouser,A 3D Model Search Engine,Princeton University,UnitedStates,2003,0,0
99963,Mao  Chen,Jaswinder Pal Singh,Using User-Provided Information to Improve Internet Services,Princeton University,UnitedStates,2004,0,0
99964,Yefim  Shuf,Jaswinder Pal Singh,Improving the Memory Performance of Java Workloads,Princeton University,UnitedStates,2003,0,0
99965,Han  Chen,Kai  Li,Scalable and Ultra-High Resolution MEG Video Delivery on Tiled Displays,Princeton University,UnitedStates,2003,0,0
99966,Elad  Hazan,Sanjeev  Arora,Efficient Algorithms for Online Convex Optimization and their Applications,Princeton University,UnitedStates,2006,0,0
99967,Iannis  Tourlakis,Sanjeev  Arora,New Lower Bounds for Approximation Algorithms in the Lovasz Schrijver Hierarchy,Princeton University,UnitedStates,2006,0,0
99968,Ananda Bandulasiri Manage,Victor  Patrangenaru,Statistical Shape Analysis in Medical Imaging,Texas Tech University,UnitedStates,2006,0,0
99969,Bernardo Rangel Tura,Basilio de BraganÃ§a Pereira,Analysis of the Dynamics of Mortality due to Circulatory Systems Desease Using the Gompertz Equation,Universidade Federal do Rio de Janeiro,Brazil,2006,0,0
99971,Esteban  Flores,JosÃ©  Garrido,Robust Regression Methods for Insurance Risk Classification,Concordia University,Canada,2002,0,0
99972,Shuanming  Li,JosÃ©  Garrido,On the Time Value of Ruin for Insurance Risk,Concordia University,Canada,2004,2,2
99973,Yi  Lu,JosÃ©  Garrido,On Periodic and Markovian Non-homogeneous Poisson Processes and Their Application in Risk Theory,Concordia University,Canada,2005,0,0
99974,Manuel  Morales,JosÃ©  Garrido,Generalized risk processes and Lévy modeling in risk theory,Concordia University,Canada,2003,1,1
99975,Yitzhak  Mandelbaum,David Patrick Walker,The Theory and Practice of Data Description,Princeton University,UnitedStates,2006,0,0
99976,Alessandro  Zaccagnini,Alberto  Perelli,Somme di primi e k-esime potenze,Università di Genova,Italy,1994,0,0
99977,H. A. Abduvalitov,Ergash  Muhamadiev,,Tadzhik State,Tajikistan,University,2,2
99978,S.  Dzhumaev,Ergash  Muhamadiev,,Tadzhik State,Tajikistan,University,0,0
99979,Ahmet  Duran,Gunduz  Caginalp,Overreaction Behavior and Optimization Techniques in Mathematical Finance,University of Pittsburgh,UnitedStates,2006,0,0
99980,Murali Krishnan Ganapathy,LÃ¡szlÃ³  Babai,Robust Mixing,The University of Chicago,UnitedStates,2006,0,0
99981,John Jacob McBride,Thomas Lester Bratcher,Conjugate Hierarchical Models for Spatial Data: An Application of an Optimal Selection Procedure,Baylor University,UnitedStates,2006,0,0
99982,Anne-CÃ©cile  Goderniaux,IrÃ¨ne  Gijbels,Automatic detection of change-points in nonparametric regression,Université Catholique de Louvain,Belgium,2001,0,0
99983,VinÃ­cius  Mello,Luiz  Velho,Novos Métodos Simpliciais em Computaçìo Gráfica,Instituto de Matemática Pura e Aplicada,Brazil,2006,0,0
99984,Andy  Bavier,Larry Lee Peterson,The Tyche CPU Scheduler,Princeton University,UnitedStates,2004,0,0
99985,Yitzchak Zuki Gottlieb,Larry Lee Peterson,Operating System Support for Generalized Packet Forwarding,Princeton University,UnitedStates,2004,0,0
99986,Limin  Wang,Larry Lee Peterson,Building Robust Network Services Through Efficient Resource Management,Princeton University,UnitedStates,2003,0,0
99987,Jie  Chen,Andrea Suzanne LaPaugh,Comparison of Clustering Algorithms and its Application to Document Clustering,Princeton University,UnitedStates,2005,0,0
99988,Soumya  Ray,Mark William Craven;Charles David Page Jr.,Learning from Data with Complex Interactions and Ambiguous Labels,University of Wisconsin-Madison,UnitedStates,2005,0,0
99989,Takayuki  Osogami,Mor  Harchol-Balter,Analysis of Multi-server Systems via Dimensionality Reduction of Markov Chains,Carnegie Mellon University,UnitedStates,2005,0,0
99990,Marco  Martens,Sebastian Johannes van Strien,One dimensional dynamics,Technische Universiteit Delft,Netherlands,1990,2,2
99991,Rocio  Garcia-Diaz,Peter James Lambert;John  Bone,Multidimensional Poverty Analysis,University of York,UnitedKingdom,2006,0,0
99992,Kevin Christopher Chen,Satish B. Rao;Lior Samuel Pachter,Three Variations on the Theme of Comparative Genomics: Metagenomics Mitochondrial Gene Rearrangements and MicroRNAs,University of California Berkeley,UnitedStates,2005,1,1
99993,Janusz  Szczypula,George Thomas Duncan;Wilpen G. Gorr,Adaptive Hierarchial Pooling Methods for Univariate Time Series Forecasting,Carnegie Mellon University,UnitedStates,1997,0,0
99994,Sally  Greenberg,George Thomas Duncan,A Decision Theoretic Approach to Optimal Selection from a Candidate Pool,Carnegie Mellon University,UnitedStates,1983,0,0
99995,Sanda  Kaufman,George Thomas Duncan,Mediation to Resolve Conflict: Theory Experimentation and Case Studies,Carnegie Mellon University,UnitedStates,1985,0,0
99996,Sumitra  Mukherjee,George Thomas Duncan,Limiting Disclosure Risk while Ensuring Data Access in Statistical and Multilevel Relational Databases,Carnegie Mellon University,UnitedStates,1994,0,0
99997,Robert  Tarone,George Thomas Duncan,,University of California Davis,UnitedStates,1974,0,0
99998,Marcelo  Sobottka,Servet  MartÃ­nes;Alejandro Eduardo Maass,Representación y aleatorización en sistemas dinámicos de tipo algebraico,Universidad de Chile,Chile,2005,0,0
99999,Jessica  Fong,Mona  Singh,Computational Methods for Predicting Coiled-Coil Protein-Protein Interactions,Princeton University,UnitedStates,2005,0,0
